feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Ruminococcus.bromii	dysbiosis	dysbiosis	-1.12730310727126	0.123952523277474	1595	512	2.75118776563261e-19	1.43612001366022e-18
Bacteroides.finegoldii	dysbiosis	dysbiosis	-1.16587567694567	0.132008259611918	1595	400	2.66162899668536e-18	1.36212778065663e-17
Clostridium.symbiosum	dysbiosis	dysbiosis	1.03924714366379	0.11838969186189	1595	801	4.19979140268727e-18	2.10797222327188e-17
Clostridium.hathewayi	dysbiosis	dysbiosis	1.02499486130221	0.117170663213039	1595	757	5.42830044325395e-18	2.67318191639487e-17
Alistipes.finegoldii	diagnosis	UC	-2.6503504732934	0.308941569058345	1595	788	2.23876562306714e-17	1.08207005114912e-16
Bacteroides.massiliensis	dysbiosis	dysbiosis	-1.38762321636966	0.164212060376141	1595	577	6.47124103980523e-17	3.07089802070757e-16
Bacteroides.eggerthii	diagnosis	CD	-2.50121346494688	0.296917881631017	1595	309	8.02365543658249e-17	3.73959655169291e-16
Clostridium.symbiosum	diagnosis	UC	2.588457812865	0.315546469128263	1595	801	4.77770695500996e-16	2.18768686887298e-15
Bacteroides.faecis	dysbiosis	dysbiosis	-1.07944369895149	0.136035287921785	1595	604	3.93670138034952e-15	1.77151562115728e-14
Bifidobacterium.adolescentis	diagnosis	CD	-2.32356676709686	0.295445997731909	1595	555	6.77989388959985e-15	2.90090541833699e-14
Bifidobacterium.adolescentis	dysbiosis	dysbiosis	-0.956425220612173	0.121609214254108	1595	555	6.77282468398134e-15	2.90090541833699e-14
Roseburia.hominis	diagnosis	CD	-2.49640395088203	0.317278473466459	1595	1061	6.5961805771656e-15	2.90090541833699e-14
Bacteroides.dorei	dysbiosis	dysbiosis	-1.21586246208202	0.157845996296709	1595	1048	2.32499909880503e-14	9.7874962062599e-14
Roseburia.hominis	diagnosis	UC	-2.66486770156122	0.348079473412373	1595	1061	3.30976662432075e-14	1.35693893877438e-13
Ruminococcus.bromii	diagnosis	UC	-2.52907655689403	0.330373197570051	1595	512	3.32735984986821e-14	1.35693893877438e-13
Ruminococcus.callidus	dysbiosis	dysbiosis	-0.696334891964714	0.0912754492942251	1595	323	4.05133353875015e-14	1.62676623632891e-13
Eubacterium.ventriosum	diagnosis	CD	-2.19880038090683	0.288709246208416	1595	627	4.46391349968381e-14	1.76527488396587e-13
Akkermansia.muciniphila	diagnosis	CD	-2.67746908054118	0.35352297574938	1595	578	6.11760938414856e-14	2.38312843173548e-13
Parabacteroides.distasonis	diagnosis	UC	2.88899258813843	0.385096984156705	1595	935	1.0399984937501e-13	3.99175892454083e-13
Sutterella.wadsworthensis	diagnosis	UC	-2.85097896756986	0.383739354163144	1595	432	1.77069321486619e-13	6.69783955188515e-13
Bilophila.unclassified	diagnosis	UC	-2.14762667888206	0.289213872397032	1595	885	1.81957837904165e-13	6.78442795614101e-13
Roseburia.inulinivorans	diagnosis	CD	-2.17956677070754	0.295431889839195	1595	1074	2.58417014322784e-13	9.49955503355587e-13
Odoribacter.splanchnicus	diagnosis	UC	-0.871611895893214	0.119866005095067	1595	662	5.55139393146559e-13	2.01238030015628e-12
Bacteroidales.bacterium.ph8	diagnosis	UC	-2.0403739457304	0.280780555066076	1595	472	5.74395593231816e-13	2.05366095662334e-12
Clostridium.bolteae	diagnosis	CD	2.14432179211629	0.298221946707752	1595	1138	9.90435921915387e-13	3.493294265134e-12
Subdoligranulum.unclassified	diagnosis	CD	-1.03414492666541	0.150353640064934	1595	1546	8.68953512351529e-12	3.02395822298332e-11
Coprobacillus.unclassified	diagnosis	UC	1.53519531356389	0.224307102748781	1595	415	1.0943529528107e-11	3.75823843004728e-11
Clostridium.leptum	diagnosis	CD	-1.74058227519997	0.256138875173731	1595	812	1.52126547580658e-11	5.15649726214958e-11
Barnesiella.intestinihominis	diagnosis	UC	-2.40378392155417	0.35428217520392	1595	484	1.63299801324883e-11	5.46426258279415e-11
Burkholderiales.bacterium.1.1.47	dysbiosis	dysbiosis	-0.809433856765886	0.120333050919636	1595	731	2.41460568926342e-11	7.97736816326269e-11
Bacteroides.ovatus	diagnosis	UC	2.30945748254574	0.345063494674233	1595	1319	3.02390119840596e-11	9.86547765979946e-11
Bacteroides.finegoldii	diagnosis	CD	-2.14573251440401	0.320710171586185	1595	400	3.07012597264263e-11	9.89262813407069e-11
Bacteroides.salyersiae	dysbiosis	dysbiosis	-0.535460967298331	0.0811541402572732	1595	167	5.65563205766172e-11	1.80014630128013e-10
Bifidobacterium.pseudocatenulatum	dysbiosis	dysbiosis	-0.483067795666273	0.0733666031708357	1595	230	6.19017020803511e-11	1.94654749915321e-10
Eubacterium.siraeum	diagnosis	UC	-2.53628930553832	0.391906410933113	1595	656	1.28726541323248e-10	3.99971753397235e-10
Ruminococcus.bromii	diagnosis	CD	-1.92703531931321	0.301138997860632	1595	512	2.05000177455999e-10	6.29471133129596e-10
Clostridium.bolteae	diagnosis	UC	2.06838083415987	0.32717296271605	1595	1138	3.34627101539571e-10	1.01555434304451e-09
Bacteroides.intestinalis	dysbiosis	dysbiosis	-0.494825775017735	0.0784655343244298	1595	193	3.694539680617e-10	1.1083619041851e-09
Barnesiella.intestinihominis	diagnosis	CD	-1.94117609573547	0.322932308024689	1595	484	2.28067218350759e-09	6.76426636244865e-09
Ruminococcus.callidus	diagnosis	CD	-1.32341936122657	0.221751010814131	1595	323	2.95445804732803e-09	8.66419719497322e-09
Alistipes.putredinis	diagnosis	CD	-2.04179502488707	0.34474785301037	1595	940	3.87620197542311e-09	1.1240985728727e-08
Ruminococcus.lactaris	diagnosis	CD	-1.73697048892295	0.294378694541691	1595	454	4.42042509153378e-09	1.26783620757178e-08
Bacteroides.fragilis	diagnosis	CD	2.51274183792394	0.428950016039932	1595	891	5.68554626415427e-09	1.6129647553742e-08
Veillonella.parvula	dysbiosis	dysbiosis	0.70090600935195	0.120757277499311	1595	853	7.78861050586416e-09	2.18583585164575e-08
Parabacteroides.distasonis	diagnosis	CD	2.03159912998813	0.35102036345885	1595	935	8.57886520307086e-09	2.38200406170372e-08
Parabacteroides.goldsteinii	diagnosis	UC	-1.20936695947195	0.209310419083487	1595	187	9.08448647100257e-09	2.49584312519123e-08
Prevotella.copri	diagnosis	CD	-2.15710629075646	0.382560719255139	1595	439	2.02502669533366e-08	5.50554132793838e-08
Ruminococcus.torques	dysbiosis	dysbiosis	-0.320637408475845	0.0570757180586618	1595	1514	2.27966966843605e-08	6.1339565305341e-08
Parasutterella.excrementihominis	dysbiosis	dysbiosis	-0.67665425058726	0.120773170878814	1595	759	2.48286396570045e-08	6.6125254596716e-08
Alistipes.onderdonkii	diagnosis	CD	-1.88857687197355	0.339008464822099	1595	896	2.97110856614637e-08	7.83292258347679e-08
Parabacteroides.goldsteinii	dysbiosis	dysbiosis	-0.435184128121507	0.0785310515032401	1595	187	3.50319281136085e-08	9.14333323765181e-08
Bacteroides.massiliensis	diagnosis	CD	-2.17181994099177	0.398948355311841	1595	577	6.02983644466005e-08	1.55820525946166e-07
Paraprevotella.clara	dysbiosis	dysbiosis	-0.443635024723553	0.0820023619918088	1595	191	7.26275683778216e-08	1.85841130849132e-07
Bacteroides.ovatus	diagnosis	CD	1.67624946172886	0.314529373898296	1595	1319	1.12673530573927e-07	2.85512538638786e-07
Parabacteroides.unclassified	diagnosis	UC	1.81321549459986	0.34041550719618	1595	730	1.14461756673901e-07	2.87254985498924e-07
Alistipes.finegoldii	diagnosis	CD	-1.49914032628241	0.281603820128279	1595	788	1.1626865221438e-07	2.8901064979003e-07
Ruminococcus.callidus	diagnosis	UC	-1.27885128675123	0.243278323390584	1595	323	1.66503674128687e-07	4.09976027807428e-07
Veillonella.dispar	dysbiosis	dysbiosis	0.502453394322606	0.0961796656632042	1595	495	1.98113471941448e-07	4.83248749315121e-07
Bacteroides.eggerthii	dysbiosis	dysbiosis	-0.627433825618394	0.122215059809024	1595	309	3.18807990622015e-07	7.70452644003202e-07
Roseburia.intestinalis	diagnosis	CD	-1.93552093627002	0.382191463295264	1595	1001	4.5769939941515e-07	1.09595911236105e-06
Parabacteroides.unclassified	diagnosis	CD	1.57050078427331	0.310292679452425	1595	730	4.64647037667319e-07	1.10248069846518e-06
Bacteroides.uniformis	diagnosis	CD	1.46990680747057	0.291422901469476	1595	1391	5.083958756225e-07	1.19541732916642e-06
Clostridium.leptum	diagnosis	UC	-1.41502969471217	0.28100451889099	1595	812	5.30522781658813e-07	1.23630755368706e-06
Ruminococcus.obeum	diagnosis	UC	1.03765781870401	0.222890455653702	1595	1346	3.50109162346678e-06	8.08659215685689e-06
Burkholderiales.bacterium.1.1.47	diagnosis	UC	1.48641442432319	0.320726143804969	1595	731	3.86943168736267e-06	8.85896202106717e-06
Acidaminococcus.unclassified	dysbiosis	dysbiosis	-0.474056869712881	0.103892463861913	1595	194	5.43075422435782e-06	1.23254508918034e-05
Eubacterium.siraeum	diagnosis	CD	-1.62012243923006	0.357227234871348	1595	656	6.18380562738707e-06	1.39135626616209e-05
Subdoligranulum.unclassified	diagnosis	UC	-0.740957498858972	0.164949784609224	1595	1546	7.5639015324554e-06	1.68733188031697e-05
Acidaminococcus.unclassified	diagnosis	CD	1.12071563653744	0.252403675418636	1595	194	9.60796728661333e-06	2.12515208627634e-05
Bacteroides.xylanisolvens	diagnosis	CD	1.29394679522742	0.293408596418802	1595	1072	1.10278199332494e-05	2.41870672485554e-05
Paraprevotella.unclassified	dysbiosis	dysbiosis	-0.483569708755532	0.111745987171119	1595	243	1.6027559990333e-05	3.48599429789742e-05
Clostridium.symbiosum	diagnosis	CD	1.22346500225207	0.287624263077811	1595	801	2.22520111262305e-05	4.79981397020343e-05
Eubacterium.ventriosum	diagnosis	UC	-1.32226646212885	0.316736781072959	1595	627	3.14595309455795e-05	6.730276702292e-05
Clostridium.clostridioforme	diagnosis	CD	1.02332984070714	0.248923116106647	1595	518	4.13991742835973e-05	8.78470283578773e-05
Veillonella.atypica	dysbiosis	dysbiosis	0.401688028797913	0.101309583771629	1595	524	7.66652241547786e-05	0.000161367931487074
Veillonella.dispar	diagnosis	CD	-0.91332919687596	0.233665659774847	1595	495	9.66890403981404e-05	0.000201886716351317
Eubacterium.sp.3.1.31	dysbiosis	dysbiosis	0.276498872799387	0.0707955488726704	1595	217	9.79267416616967e-05	0.000202848250584943
Eubacterium.hallii	diagnosis	CD	-0.996547734574538	0.259010492919092	1595	923	0.000124034844404414	0.000254906255035842
Bifidobacterium.longum	dysbiosis	dysbiosis	-0.473444228612167	0.126393793850889	1595	1002	0.000186243046592644	0.000379761212192814
Oscillibacter.unclassified	diagnosis	UC	1.06724258351965	0.291635318395246	1595	1296	0.000260945276158624	0.000527959047111634
Bacteroides.uniformis	diagnosis	UC	1.1685639043599	0.319713874614707	1595	1391	0.000265506054805348	0.00053305446387843
Clostridium.nexile	diagnosis	CD	-0.747872736322746	0.213794692803198	1595	273	0.000481500950429076	0.000959326321083884
Peptostreptococcaceae.noname.unclassified	diagnosis	CD	-0.779116132294493	0.229155853403381	1595	423	0.000690671793737131	0.00136564650125296
Alistipes.unclassified	dysbiosis	dysbiosis	0.329812877260395	0.0999585957289374	1595	224	0.0009899968707396	0.00194277581400779
Roseburia.unclassified	dysbiosis	dysbiosis	-0.475455605266421	0.144312311938373	1595	513	0.00100717658086187	0.00196173945973841
Bacteroides.eggerthii	diagnosis	UC	-1.07151530989664	0.32574230062213	1595	309	0.00102574334151549	0.00198310379359661
Sutterella.wadsworthensis	diagnosis	CD	-1.13957070358653	0.349782867987869	1595	432	0.00114590979881906	0.00219913571685129
Coprobacter.fastidiosus	diagnosis	UC	-0.61456588360661	0.189273343904614	1595	177	0.00119066705368928	0.00226835110228396
Dorea.longicatena	diagnosis	CD	-0.884724314002872	0.275283908741817	1595	1063	0.00133587357682652	0.00252654350399799
Prevotella.copri	diagnosis	UC	-1.32907028455739	0.419699238500858	1595	439	0.00157092954801353	0.00294973102180958
Bacteroides.fragilis	diagnosis	UC	1.4406926894227	0.470591950573013	1595	891	0.00223957383336201	0.00417520550362489
Flavonifractor.plautii	dysbiosis	dysbiosis	0.324819482203299	0.106778559352878	1595	1068	0.00238862090133409	0.00442148975353332
Bacteroides.xylanisolvens	diagnosis	UC	0.973972822342292	0.321892338362239	1595	1072	0.00251976220290084	0.00463139390814874
Coprobacillus.unclassified	diagnosis	CD	0.611067684949573	0.204458523365738	1595	415	0.00284449780210669	0.00519170577867026
Bacteroides.thetaiotaomicron	diagnosis	CD	-1.09707024613454	0.368809451062342	1595	1121	0.0029776465759364	0.00539698441888472
Bacteroides.cellulosilyticus	diagnosis	UC	-1.05259575827965	0.3582197772259	1595	526	0.00334654493892541	0.00602378089006574
Coprobacter.fastidiosus	dysbiosis	dysbiosis	-0.205108693588033	0.0710133531978406	1595	177	0.00392555112462228	0.00701759481867408
Lachnospiraceae.bacterium.3.1.46FAA	diagnosis	UC	-0.804968149382808	0.285587713933297	1595	992	0.00488249454904705	0.00866891889320599
Flavonifractor.plautii	diagnosis	CD	0.725363327261472	0.2594153592545	1595	1068	0.00523377643013761	0.00922983546125619
Bilophila.unclassified	diagnosis	CD	-0.734827077976554	0.263621796022264	1595	885	0.00537596665270913	0.00941696172051734
Bifidobacterium.bifidum	dysbiosis	dysbiosis	-0.285521450051703	0.102938971127426	1595	425	0.00560705941006489	0.0097562833735129
Paraprevotella.clara	diagnosis	UC	-0.599670959238102	0.218562573985568	1595	191	0.00614324270379057	0.0106184526204592
Clostridium.hathewayi	diagnosis	UC	0.836262644644085	0.312297367117255	1595	757	0.00748749518486083	0.0128568173897939
Clostridium.citroniae	diagnosis	CD	0.505640380644714	0.198017642424624	1595	462	0.0107568332073963	0.018349891942029
Ruminococcus.gnavus	diagnosis	CD	0.718222732002984	0.284396089200685	1595	970	0.0116520831085959	0.0197480109827502
Dialister.invisus	diagnosis	CD	0.833040669493635	0.333994582249168	1595	777	0.0127258733389396	0.0214287286546014
Bacteroides.intestinalis	diagnosis	CD	0.474777234147096	0.190629700374578	1595	193	0.012855044750177	0.0215074787166423
Veillonella.atypica	diagnosis	UC	0.671121373495433	0.270022507409549	1595	524	0.0130416453607205	0.0216806970646373
Bacteroides.caccae	diagnosis	UC	-1.02445134614462	0.414326924005449	1595	1072	0.0135185096398153	0.0221907611068667
Bacteroides.cellulosilyticus	diagnosis	CD	-0.807612035218945	0.326521477895595	1595	526	0.0134878966996283	0.0221907611068667
Veillonella.unclassified	diagnosis	CD	-0.776505953947996	0.314754374687719	1595	995	0.0137288671965007	0.0223952146142917
Lachnospiraceae.bacterium.1.1.57FAA	diagnosis	UC	-0.668108143469317	0.272947170486983	1595	475	0.0144823089765098	0.023477531943286
Oscillibacter.unclassified	diagnosis	CD	0.646511573071785	0.265828972108699	1595	1296	0.0151229683226945	0.0243647822976745
Clostridium.clostridioforme	diagnosis	UC	0.661628262937147	0.273088262900156	1595	518	0.0155139741618373	0.0248413942100584
Bacteroides.finegoldii	diagnosis	UC	-0.847013945851991	0.351844316521248	1595	400	0.0161818223243467	0.0257527782113079
Clostridium.nexile	diagnosis	UC	-0.562036259042097	0.234549615913871	1595	273	0.0166792821774829	0.0263835918080184
Streptococcus.salivarius	diagnosis	UC	0.62933956130138	0.267999660616269	1595	582	0.0189819434555233	0.0298451038668167
Eubacterium.eligens	diagnosis	CD	-0.724923444966183	0.31904303616621	1595	1015	0.023208550880952	0.0362720465863981
Eubacterium.rectale	diagnosis	UC	-0.746503497869763	0.329956125259711	1595	1318	0.0238050574934144	0.0369828571772688
Eubacterium.rectale	diagnosis	CD	-0.677722694073179	0.300758831616836	1595	1318	0.0243711400460076	0.0376382695385088
Roseburia.intestinalis	dysbiosis	dysbiosis	-0.353096372185348	0.157314717081189	1595	1001	0.0249357823171254	0.0382837599104102
Odoribacter.splanchnicus	diagnosis	CD	0.243640551991886	0.109259252619099	1595	662	0.0258911086867454	0.0395180079955588
Faecalibacterium.prausnitzii	diagnosis	UC	0.436986378521548	0.198977040194407	1595	1534	0.0282240227111614	0.0428283135326345
Flavonifractor.plautii	diagnosis	UC	0.618109244871078	0.284599079974878	1595	1068	0.0300135510263332	0.0450203265394997
Veillonella.unclassified	dysbiosis	dysbiosis	0.281639502794102	0.129556780198964	1595	995	0.0298619701763527	0.0450203265394997
Parasutterella.excrementihominis	diagnosis	UC	0.693193989232594	0.321899204541318	1595	759	0.031433151307992	0.0468802999507767
Ruminococcus.gnavus	diagnosis	UC	0.670114714283287	0.312004908142555	1595	970	0.0318826904192204	0.047280580678503
Roseburia.unclassified	diagnosis	CD	0.74613695031692	0.350602503660127	1595	513	0.0334774479459918	0.0493650503610388
Bacteroides.dorei	diagnosis	CD	-0.802531219065117	0.383482190473021	1595	1048	0.0365298139687402	0.0535633789092201
Veillonella.parvula	diagnosis	CD	-0.611103099242887	0.293376242524054	1595	853	0.0374104565518258	0.0545482075979136
Lachnospiraceae.bacterium.1.1.57FAA	dysbiosis	dysbiosis	-0.211637790311157	0.102406886370178	1595	475	0.0389299125264076	0.056448373163291
Haemophilus.parainfluenzae	diagnosis	CD	-0.608059480294793	0.299035697431322	1595	887	0.0421777039988493	0.0608197831143628
Roseburia.inulinivorans	diagnosis	UC	-0.648071321421621	0.324112050593689	1595	1074	0.0457209709680461	0.0655668869376926
Eubacterium.eligens	diagnosis	UC	0.686097353356494	0.350015337666326	1595	1015	0.0501476299350468	0.071522029579493
Escherichia.coli	diagnosis	UC	0.559637303094591	0.292513696846309	1595	975	0.0559017325918896	0.0792953924265391
Haemophilus.parainfluenzae	dysbiosis	dysbiosis	-0.228952173432309	0.123086778896056	1595	887	0.0630575739588289	0.0889623070446181
Bifidobacterium.longum	diagnosis	UC	0.614194068518761	0.336879966001601	1595	1002	0.0684631404009611	0.0960692454013487
Bifidobacterium.adolescentis	diagnosis	UC	-0.579392451998896	0.324127528063097	1595	555	0.0740397725587424	0.103338933892148
Bifidobacterium.pseudocatenulatum	diagnosis	UC	-0.347447678615444	0.195545509228104	1595	230	0.075790149016197	0.10521930262355
C2likevirus.unclassified	diagnosis	CD	-0.346125270555641	0.197301995685039	1595	389	0.0795730257091753	0.109886559312671
Paraprevotella.clara	diagnosis	CD	-0.345557735598308	0.199222318832018	1595	191	0.0830171880901507	0.114039400481733
Collinsella.aerofaciens	diagnosis	UC	0.474953887745382	0.276223799391718	1595	835	0.085726383004903	0.117142532895282
Klebsiella.pneumoniae	diagnosis	CD	0.30318169672065	0.176576423362222	1595	171	0.0861738173022763	0.117142532895282
Bacteroides.vulgatus	diagnosis	UC	0.580438712191904	0.340641772180353	1595	1455	0.0885845090052242	0.119795631349034
Faecalibacterium.prausnitzii	diagnosis	CD	-0.292598666039755	0.181369877829491	1595	1534	0.106884073310314	0.143797645020576
Eubacterium.hallii	diagnosis	UC	0.452594906909389	0.284154909718726	1595	923	0.111409259060369	0.149117008280802
Peptostreptococcaceae.noname.unclassified	diagnosis	UC	-0.399215948610302	0.251402018896956	1595	423	0.112494442102429	0.1498012723915
Burkholderiales.bacterium.1.1.47	diagnosis	CD	-0.453841995990777	0.292345596566302	1595	731	0.120761590812018	0.159993782750948
Bacteroides.dorei	diagnosis	UC	-0.649919427651109	0.420710164999529	1595	1048	0.122589858382048	0.161595722412699
Bacteroidales.bacterium.ph8	diagnosis	CD	-0.391630097386074	0.25593472955209	1595	472	0.126167208349097	0.16547558481967
Bifidobacterium.bifidum	diagnosis	CD	-0.381699188511424	0.250087192954716	1595	425	0.127142780161652	0.165921328110956
C2likevirus.unclassified	diagnosis	UC	-0.327243997062939	0.216455828253722	1595	389	0.130776198018782	0.169813869069165
Lachnospiraceae.bacterium.1.1.57FAA	diagnosis	CD	-0.373031968335506	0.248794508737099	1595	475	0.133979246560942	0.172259031292639
Roseburia.unclassified	diagnosis	UC	-0.577195201557437	0.384638559047964	1595	513	0.133653038451515	0.172259031292639
Paraprevotella.unclassified	diagnosis	CD	-0.405856365799054	0.27148357856603	1595	243	0.135123887513746	0.17287909137788
C2likevirus.unclassified	dysbiosis	dysbiosis	0.115815151026922	0.0812119333151271	1595	389	0.154039875761832	0.196119061335796
Peptostreptococcaceae.noname.unclassified	dysbiosis	dysbiosis	-0.132875384781471	0.0943233737740525	1595	423	0.159112866505438	0.201533448819203
Escherichia.unclassified	diagnosis	UC	0.460132288645946	0.327198672972974	1595	637	0.159836873201437	0.201533448819203
Bacteroides.faecis	diagnosis	UC	-0.498468306150587	0.362577637507844	1595	604	0.169389973725147	0.212551842030112
Bacteroides.faecis	diagnosis	CD	0.448911266475005	0.330493718040297	1595	604	0.174559495614082	0.217990566293183
Veillonella.parvula	diagnosis	UC	-0.431219430932765	0.321856843591593	1595	853	0.180506116189145	0.22434331583508
Bacteroides.stercoris	diagnosis	CD	-0.58131989162794	0.451816782720628	1595	1063	0.198411336281164	0.244270560232942
