feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Oscillibacter.unclassified	dysbiosis	dysbiosis	-1.69292774424941	0.133301178674014	1595	1296	4.89073351655623e-35	7.70290528857607e-34
Roseburia.inulinivorans	dysbiosis	dysbiosis	-1.72298541212684	0.142340586487687	1595	1074	3.0083442228342e-32	4.45942790678953e-31
Clostridium.leptum	dysbiosis	dysbiosis	-1.34608606001494	0.112958125913879	1595	812	2.08741972812321e-31	2.9223876193725e-30
Lachnospiraceae.bacterium.3.1.46FAA	dysbiosis	dysbiosis	-1.26887072628133	0.107490480818969	1595	992	6.91508898755936e-31	9.17159170981558e-30
Parabacteroides.merdae	dysbiosis	dysbiosis	-1.21605295257296	0.104096409645135	1595	911	2.82177931077129e-30	3.55544193157183e-29
Bacteroides.caccae	dysbiosis	dysbiosis	-1.25590178961845	0.111348419360726	1595	1072	2.06978446802816e-28	2.39192180166478e-27
Roseburia.hominis	dysbiosis	dysbiosis	-1.77221179946851	0.156982976254506	1595	1061	2.08818569986608e-28	2.39192180166478e-27
Bilophila.unclassified	dysbiosis	dysbiosis	-1.13588354497788	0.101111217422506	1595	885	3.1260523345508e-28	3.42506603611653e-27
Collinsella.aerofaciens	dysbiosis	dysbiosis	-1.10116372436321	0.0989396224542969	1595	835	9.25332820644025e-28	9.71599461676226e-27
Alistipes.finegoldii	dysbiosis	dysbiosis	-0.940909100592653	0.0862802159130533	1595	788	9.83194200949748e-27	9.91059754557346e-26
Eubacterium.siraeum	dysbiosis	dysbiosis	-1.46194782188874	0.136966937297816	1595	656	9.80949749869889e-26	9.50766680643123e-25
Bacteroides.xylanisolvens	dysbiosis	dysbiosis	-1.11853944930204	0.107005373449205	1595	1072	8.8742465024627e-25	8.28263006896519e-24
Parabacteroides.distasonis	dysbiosis	dysbiosis	-1.23147089156688	0.12086227073372	1595	935	1.1774322954779e-23	1.05968906593011e-22
Bacteroidales.bacterium.ph8	dysbiosis	dysbiosis	-0.882302756074431	0.0895724454369871	1595	472	2.97814214326731e-22	2.58790282794263e-21
Bacteroides.thetaiotaomicron	dysbiosis	dysbiosis	-1.05267703969136	0.11123531378597	1595	1121	1.05663803895082e-20	8.8757595271869e-20
Eubacterium.hallii	dysbiosis	dysbiosis	-1.13561330060042	0.121899472672233	1595	923	4.09849298126903e-20	3.3316781654187e-19
Barnesiella.intestinihominis	dysbiosis	dysbiosis	-0.739474366228425	0.0800719541411049	1595	484	8.37171176910369e-20	6.59272301816916e-19
Klebsiella.pneumoniae	dysbiosis	dysbiosis	0.813091501591246	0.0948880318661551	1595	171	4.74120590782328e-17	3.62055723870141e-16
Ruminococcus.torques	dysbiosis	dysbiosis	-0.595806057038837	0.0703651787589883	1595	1514	6.17199151369845e-17	4.57453488662356e-16
Ruminococcus.bromii	dysbiosis	dysbiosis	-1.03614813547616	0.125679336614323	1595	512	3.43597968627011e-16	2.47390537411448e-15
Bacteroides.stercoris	dysbiosis	dysbiosis	-1.07718790693406	0.136448921046915	1595	1063	5.4676379709681e-15	3.82734657967767e-14
Bacteroides.dorei	dysbiosis	dysbiosis	-0.934784299458562	0.121148582276538	1595	1048	2.12622618530079e-14	1.44813242890756e-13
Roseburia.intestinalis	dysbiosis	dysbiosis	-1.35904028999796	0.178186823584812	1595	1001	4.18381793988949e-14	2.77453189697934e-13
Bacteroides.eggerthii	dysbiosis	dysbiosis	-0.63737970543867	0.0859019604846931	1595	309	1.92402160189265e-13	1.24321395814602e-12
Dialister.invisus	dysbiosis	dysbiosis	-0.825663160899763	0.113523327813624	1595	777	5.51858706335584e-13	3.47670984991418e-12
Bacteroides.finegoldii	dysbiosis	dysbiosis	-0.615284656167823	0.0905888656480077	1595	400	1.57395267773812e-11	9.67405060463429e-11
Bacteroides.cellulosilyticus	dysbiosis	dysbiosis	-0.595864982647289	0.0892790414080805	1595	526	3.45823280918634e-11	2.0749396855118e-10
Bifidobacterium.bifidum	dysbiosis	dysbiosis	-0.572019985440229	0.0878932654696489	1595	425	1.01779157748375e-10	5.96473203548618e-10
Flavonifractor.plautii	dysbiosis	dysbiosis	-0.742429955963004	0.115586472750953	1595	1068	1.76186908278986e-10	1.00907047468874e-09
Ruminococcus.lactaris	dysbiosis	dysbiosis	-0.642931861075888	0.103723869994453	1595	454	7.26235310224502e-10	4.06691773725721e-09
Clostridium.clostridioforme	dysbiosis	dysbiosis	0.68809214410612	0.114772021773993	1595	518	2.51207887443747e-09	1.37618233990922e-08
Bifidobacterium.longum	dysbiosis	dysbiosis	-0.719363124185518	0.121933933094905	1595	1002	4.44275406547817e-09	2.38207239255425e-08
Acidaminococcus.unclassified	dysbiosis	dysbiosis	-0.464778616344029	0.0800553510022129	1595	194	7.75955222487087e-09	4.07376491805721e-08
Escherichia.coli	dysbiosis	dysbiosis	0.756821605655709	0.132245535354702	1595	975	1.26471458650754e-08	6.50424644489594e-08
Sutterella.wadsworthensis	dysbiosis	dysbiosis	-0.628376706435072	0.116464263879578	1595	432	7.88600994092263e-08	3.97454901022501e-07
Paraprevotella.unclassified	dysbiosis	dysbiosis	-0.381610052516067	0.0738741421158544	1595	243	2.70996363584786e-07	1.33904085536012e-06
Bacteroides.fragilis	dysbiosis	dysbiosis	-0.787437483451757	0.153517024955351	1595	891	3.26727915734641e-07	1.58337374548326e-06
Coprobacillus.unclassified	dysbiosis	dysbiosis	0.516964845437533	0.101041210996662	1595	415	3.52997649192235e-07	1.67840391691402e-06
Bifidobacterium.adolescentis	dysbiosis	dysbiosis	-0.599601011604883	0.118664698378714	1595	555	4.85358719194125e-07	2.26500735623925e-06
Parabacteroides.goldsteinii	dysbiosis	dysbiosis	-0.29537428982204	0.0626954293805495	1595	187	2.67839080906012e-06	1.22718997069664e-05
Bifidobacterium.pseudocatenulatum	dysbiosis	dysbiosis	-0.376246982550747	0.0801610083437231	1595	230	2.92050758542739e-06	1.31422841344233e-05
Burkholderiales.bacterium.1.1.47	dysbiosis	dysbiosis	-0.470358620993177	0.10098507987762	1595	731	3.46610219005153e-06	1.53238202086489e-05
Bacteroides.intestinalis	dysbiosis	dysbiosis	-0.25510295451176	0.0552636425437244	1595	193	4.23237546544134e-06	1.83889416774348e-05
Bacteroides.massiliensis	dysbiosis	dysbiosis	-0.537714022135533	0.118039269320175	1595	577	5.63899130615339e-06	2.40851832059433e-05
Paraprevotella.clara	dysbiosis	dysbiosis	-0.23392198297045	0.0522236214279604	1595	191	8.04872757323555e-06	3.38046558075893e-05
Parasutterella.excrementihominis	dysbiosis	dysbiosis	-0.465069320591267	0.104588003764327	1595	759	9.32876315913439e-06	3.85384969852765e-05
Bacteroides.faecis	dysbiosis	dysbiosis	-0.357257321294633	0.0815806640438485	1595	604	1.27233244218701e-05	5.17141573276011e-05
Ruminococcus.gnavus	dysbiosis	dysbiosis	0.514555028343213	0.1337458816726	1595	970	0.000124238885016402	0.000496955540065608
Ruminococcus.callidus	dysbiosis	dysbiosis	-0.399642769803021	0.106473366779464	1595	323	0.000180975197700287	0.000712589840944881
Alistipes.unclassified	dysbiosis	dysbiosis	0.303081332107049	0.0977283454138674	1595	224	0.00196083610460872	0.0076020107440215
Akkermansia.muciniphila	diagnosis	UC	-3.35940722486955	1.10540299348226	1595	578	0.00292689914004723	0.0111754330801803
Lachnospiraceae.bacterium.1.1.57FAA	dysbiosis	dysbiosis	-0.376184106856149	0.127423666051621	1595	475	0.00321397017920549	0.012088365450146
Haemophilus.parainfluenzae	dysbiosis	dysbiosis	-0.397858864890002	0.14004604499985	1595	887	0.00455825102354612	0.0168923420284356
Clostridium.bolteae	diagnosis	CD	2.47420779770209	0.883844427928112	1595	1138	0.00604747268322667	0.0220864219735235
Bifidobacterium.adolescentis	diagnosis	CD	-2.49508080019908	0.89668299944329	1595	555	0.00625155690417122	0.0225056048550164
Parabacteroides.goldsteinii	diagnosis	CD	-1.64692052862739	0.59360570494389	1595	187	0.00637919414953951	0.0226416468406191
Alistipes.putredinis	diagnosis	UC	-3.6369801098917	1.31939326136932	1595	940	0.00674979385854417	0.0236242785049046
Alistipes.shahii	diagnosis	UC	-3.15276207574479	1.18698508613687	1595	757	0.00895905149715606	0.0309271366751141
Coprobacillus.unclassified	diagnosis	UC	1.5317934345076	0.593736203511287	1595	415	0.0112006185658389	0.0381426470079918
Alistipes.shahii	diagnosis	CD	-2.7033406136085	1.07857588418248	1595	757	0.0135143791178729	0.0449389210012049
Ruminococcus.callidus	diagnosis	CD	-1.55134329036195	0.618423315533357	1595	323	0.0135530079209983	0.0449389210012049
Ruminococcus.bromii	diagnosis	CD	-2.2848464131025	0.916467069083096	1595	512	0.0139924882469866	0.0457935978992288
Roseburia.inulinivorans	diagnosis	CD	-1.97655040339704	0.79666921423791	1595	1074	0.0145221827670147	0.0469178212472783
Prevotella.copri	dysbiosis	dysbiosis	-0.294327744173148	0.125476977990039	1595	439	0.0191177281708719	0.0609831328994901
Ruminococcus.bromii	diagnosis	UC	-2.33706165037359	1.00918205805749	1595	512	0.0222206366145381	0.069995005335795
Alistipes.finegoldii	diagnosis	UC	-2.4691129602686	1.06973221221282	1595	788	0.0226546347220554	0.07048108580195
Clostridium.symbiosum	diagnosis	CD	1.87309750925006	0.819285461108766	1595	801	0.0241280110222846	0.0738058360368209
Roseburia.hominis	diagnosis	CD	-1.94573260790685	0.852526226471667	1595	1061	0.0243090650438735	0.0738058360368209
Clostridium.symbiosum	diagnosis	UC	2.03519389534339	0.902389692863269	1595	801	0.0260619956763987	0.078185987029196
Bilophila.unclassified	diagnosis	UC	-2.09715410164568	0.940599029190388	1595	885	0.027647772302052	0.0819675131778483
Akkermansia.muciniphila	diagnosis	CD	-2.22829807348476	1.00364251575757	1595	578	0.0283310226733271	0.0830164850427724
Peptostreptococcaceae.noname.unclassified	diagnosis	CD	-0.787771781348302	0.36185870112944	1595	423	0.0315910264722706	0.0915050421955423
Roseburia.unclassified	dysbiosis	dysbiosis	-0.392795022397653	0.184080030286248	1595	513	0.0330761712544182	0.0947181267740157
Clostridium.leptum	diagnosis	CD	-1.58037049360167	0.734872605004569	1595	812	0.0335589002156973	0.0950207062287158
Alistipes.onderdonkii	diagnosis	CD	-2.47239226815878	1.17534197316322	1595	896	0.037487967314314	0.104966308480079
Barnesiella.intestinihominis	diagnosis	CD	-2.42442912491108	1.16457334375587	1595	484	0.0394078698662091	0.109129485783348
Alistipes.onderdonkii	diagnosis	UC	-2.62782096147716	1.29349930777581	1595	896	0.0443811120985389	0.121565654878607
Clostridium.clostridioforme	diagnosis	CD	1.55793583748967	0.77700546479426	1595	518	0.0473640640355032	0.128255725838913
Clostridium.leptum	diagnosis	UC	-1.61837251799149	0.809341819537314	1595	812	0.0478414215430866	0.128255725838913
Sutterella.wadsworthensis	diagnosis	UC	-2.62011249052609	1.34263393636285	1595	432	0.0533334313972463	0.141473944337959
Ruminococcus.callidus	diagnosis	UC	-1.3201519256451	0.681155318604122	1595	323	0.0551222940666027	0.144696021924832
Coprobacillus.unclassified	diagnosis	CD	1.03567562208806	0.539050880567942	1595	415	0.0572815438828048	0.148813907819245
Bacteroides.eggerthii	diagnosis	CD	-1.9163287708439	1.01285989223464	1595	309	0.0608283559465637	0.153287456985341
Clostridium.citroniae	dysbiosis	dysbiosis	-0.1924843024473	0.102543809017136	1595	462	0.0607322404214151	0.153287456985341
Clostridium.hathewayi	dysbiosis	dysbiosis	-0.264112759276395	0.140551975654893	1595	757	0.0604256127358878	0.153287456985341
Eubacterium.ventriosum	diagnosis	CD	-1.7170166537169	0.920909114084742	1595	627	0.0646447563596132	0.161291867352698
Alistipes.putredinis	diagnosis	CD	-2.22759825849708	1.19864591709802	1595	940	0.0655553227963125	0.161960209261478
Parabacteroides.distasonis	diagnosis	UC	2.30487925075609	1.25076178884946	1595	935	0.0677597393949438	0.164899782186464
Ruminococcus.lactaris	diagnosis	CD	-1.79427642576431	0.974789714257291	1595	454	0.0680538783626678	0.164899782186464
Roseburia.hominis	diagnosis	UC	-1.72395023277576	0.939016268957694	1595	1061	0.0689541128785332	0.16548987090848
Parabacteroides.goldsteinii	diagnosis	UC	-1.19178907418608	0.653372335912996	1595	187	0.0705259683038165	0.166367650534882
Subdoligranulum.unclassified	diagnosis	CD	-0.798781575730017	0.437771723914561	1595	1546	0.0706402325683826	0.166367650534882
Eubacterium.hallii	diagnosis	CD	-1.26553228047638	0.699730499342684	1595	923	0.0729991727459028	0.170331403073773
Streptococcus.salivarius	dysbiosis	dysbiosis	-0.213271552829977	0.119677635944692	1595	582	0.0749506835026807	0.173280479290601
Akkermansia.muciniphila	dysbiosis	dysbiosis	-0.287691369917383	0.162062825446457	1595	578	0.0760630048299551	0.174253429246806
Parabacteroides.unclassified	dysbiosis	dysbiosis	-0.229543779520812	0.130196397020816	1595	730	0.0780829877959392	0.177269485806997
Barnesiella.intestinihominis	diagnosis	UC	-2.26612583984621	1.28105097310205	1595	484	0.0793446728707174	0.178525513959114
Peptostreptococcaceae.noname.unclassified	dysbiosis	dysbiosis	-0.20301436323551	0.115993432223955	1595	423	0.0806185059420806	0.179786402631896
Bacteroides.finegoldii	diagnosis	CD	-2.00125695372335	1.14245994866362	1595	400	0.0823177233482171	0.181965493717112
Bacteroidales.bacterium.ph8	diagnosis	UC	-1.71936846677979	0.983618191908015	1595	472	0.0830474829458734	0.181982310455305
Eubacterium.siraeum	diagnosis	UC	-2.10085869647127	1.21040968117165	1595	656	0.0850979716747843	0.184868007431428
Sutterella.wadsworthensis	diagnosis	CD	-2.10711298976919	1.22001974497383	1595	432	0.0867307658446559	0.186804726434644
Oscillibacter.unclassified	diagnosis	UC	1.24403932685947	0.727482393730735	1595	1296	0.0899250776037973	0.192043386069126
Parabacteroides.unclassified	diagnosis	CD	1.58222588897169	0.936303584092937	1595	730	0.0936188494151122	0.195091484353704
Alistipes.finegoldii	diagnosis	CD	-1.64913437214917	0.972149104881907	1595	788	0.0923422483194171	0.195091484353704
Ruminococcus.gnavus	diagnosis	CD	1.45400171434069	0.859953932740695	1595	970	0.0936748793920562	0.195091484353704
Veillonella.unclassified	dysbiosis	dysbiosis	-0.239386260964906	0.146584964396721	1595	995	0.10265428811217	0.212040004953007
Odoribacter.splanchnicus	diagnosis	UC	-0.643047018509704	0.394558971660659	1595	662	0.105764219579732	0.216687669382865
Flavonifractor.plautii	diagnosis	CD	1.26387055153638	0.778309443186009	1595	1068	0.107120273477147	0.217696039647105
Bacteroides.ovatus	diagnosis	UC	1.7687624103546	1.10448730787331	1595	1319	0.111792959256277	0.225374605860655
Bacteroides.fragilis	diagnosis	CD	2.24111217616838	1.41346336467965	1595	891	0.115430609542406	0.230861219084812
Clostridium.bolteae	diagnosis	UC	1.52396779715756	0.97346203378204	1595	1138	0.12032750154628	0.238760081808366
